raw_name,normalized_name
Abc / RN,ABC / RN
Amazonas Fc / AM,Amazonas / AM
Amazonas Saf / AM,Amazonas / AM
America / MG,América / MG
America Fc S.a.f. / MG,América / MG
America Saf / MG,América / MG
América / MG,América / MG
América Fc S.a.f. / MG,América / MG
América Fc Saf / MG,América / MG
América Mineiro,América / MG
América Saf / MG,América / MG
Athletic,Athletic / MG
Athletic Club / MG,Athletic / MG
Athletic Saf / MG,Athletic / MG
Athletico Paranaense / PR,Athletico Paranaense / PR
Athletico-PR,Athletico Paranaense / PR
Atlético / GO,Atlético Goianiense / GO
Atlético / MG,Atlético Mineiro / MG
Atlético Goianiense,Atlético Goianiense / GO
Atlético Goianiense Saf / GO,Atlético Goianiense / GO
Atlético Mineiro / MG,Atlético Mineiro / MG
Atlético Mineiro S.a.f. / MG,Atlético Mineiro / MG
Atlético Mineiro SAF / MG,Atlético Mineiro / MG
Atlético Mineiro Saf / MG,Atlético Mineiro / MG
Atlético-MG,Atlético Mineiro / MG
Avaí,Avaí / SC
Avaí / SC,Avaí / SC
Bahia,Bahia / BA
Bahia / BA,Bahia / BA
Botafogo,Botafogo / RJ
Botafogo / RJ,Botafogo / RJ
Botafogo / SP,Botafogo / SP
Botafogo-SP,Botafogo / SP
Brasil / RS,Brasil / RS
Brusque / SC,Brusque / SC
CORINTHIANS / SP,Corinthians / SP
CRB,CRB / AL
CRB / AL,CRB / AL
CSA / AL,CSA / AL
Ceará,Ceará / CE
Ceará / CE,Ceará / CE
Chapecoense,Chapecoense / SC
Chapecoense / SC,Chapecoense / SC
Confiança / SE,Confiança / SE
Corinthians,Corinthians / SP
Corinthians / SP,Corinthians / SP
Coritiba,Coritiba / PR
Coritiba / PR,Coritiba / PR
Coritiba S.a.f. / PR,Coritiba / PR
Coritiba SAF / PR,Coritiba / PR
Crb / AL,CRB / AL
Criciúma,Criciúma / SC
Criciúma / SC,Criciúma / SC
Cruzeiro,Cruzeiro / MG
Cruzeiro / MG,Cruzeiro / MG
Cruzeiro Saf / MG,Cruzeiro / MG
Csa / AL,CSA / AL
Cuiabá,Cuiabá / MT
Cuiabá / MT,Cuiabá / MT
Cuiabá Saf / MT,Cuiabá / MT
Ferroviária / SP,Ferroviária / SP
Figueirense / SC,Figueirense / SC
Flamengo,Flamengo / RJ
Flamengo / RJ,Flamengo / RJ
Fluminense,Fluminense / RJ
Fluminense / RJ,Fluminense / RJ
Fortaleza,Fortaleza / CE
Fortaleza / CE,Fortaleza / CE
Fortaleza Ec Saf / CE,Fortaleza / CE
Fortaleza SAF / CE,Fortaleza / CE
Goiás,Goiás / GO
Goiás / GO,Goiás / GO
Gremio Novorizontino - Saf / SP,Novorizontino / SP
Grêmio,Grêmio / RS
Grêmio / RS,Grêmio / RS
Guarani / SP,Guarani / SP
Internacional,Internacional / RS
Internacional / RS,Internacional / RS
Ituano / SP,Ituano / SP
Juventude,Juventude / RS
Juventude / RS,Juventude / RS
Londrina,Londrina / PR
Londrina / PR,Londrina / PR
Londrina SAF / PR,Londrina / PR
Mirassol,Mirassol / SP
Mirassol / SP,Mirassol / SP
Novorizontino,Novorizontino / SP
Novorizontino / SP,Novorizontino / SP
Náutico,Náutico / PE
Náutico / PE,Náutico / PE
Oeste / SP,Oeste / SP
Operário / PR,Operário / PR
Operário PR,Operário / PR
Palmeiras,Palmeiras / SP
Palmeiras / SP,Palmeiras / SP
Paraná / PR,Paraná / PR
Paysandu / PA,Paysandu / PA
Ponte Preta,Ponte Preta / SP
Ponte Preta / SP,Ponte Preta / SP
Red Bull Bragantino,Red Bull Bragantino / SP
Red Bull Bragantino / SP,Red Bull Bragantino / SP
Remo,Remo / PA
Remo / PA,Remo / PA
Sampaio Correa / MA,Sampaio Corrêa / MA
Sampaio Corrêa / MA,Sampaio Corrêa / MA
Santos,Santos / SP
Santos / SP,Santos / SP
Santos Fc / SP,Santos / SP
Sao Bernardo / SP,São Bernardo / SP
Sport,Sport / PE
Sport / PE,Sport / PE
Sport Recife / PE,Sport / PE
São Bernardo,São Bernardo / SP
São Bernardo SAF / SP,São Bernardo / SP
São Paulo,São Paulo / SP
São Paulo / SP,São Paulo / SP
Tombense / MG,Tombense / MG
Vasco da Gama,Vasco da Gama / RJ
Vasco da Gama / RJ,Vasco da Gama / RJ
Vasco da Gama S.A.F. / RJ,Vasco da Gama / RJ
Vasco da Gama S.a.f. / RJ,Vasco da Gama / RJ
Vasco da Gama Saf / RJ,Vasco da Gama / RJ
Vila Nova,Vila Nova / GO
Vila Nova / GO,Vila Nova / GO
Vitória,Vitória / BA
Vitória / BA,Vitória / BA
Volta Redonda / RJ,Volta Redonda / RJ
