game_id,date,time,stadium,home_team,away_team,result
001,22/04/2024,21:00,Onésio Brasileiro Alvarenga / Goiania,Vila Nova / GO,Guarani / SP,2 X 0
002,21/04/2024,18:00,Moisés Lucarelli / Campinas,Ponte Preta / SP,Coritiba S.a.f. / PR,1 X 1
003,19/04/2024,19:00,Santa Cruz / Ribeirao Preto,Botafogo / SP,America Saf / MG,1 X 1
004,19/04/2024,19:00,Dr. Jorge Ismael de Biasi / Novo Horizonte,Gremio Novorizontino - Saf / SP,Crb / AL,2 X 1
005,20/04/2024,16:30,Urbano Caldeira / Santos,Santos / SP,Paysandu / PA,2 X 0
006,20/04/2024,15:30,Índio Condá / Chapeco,Chapecoense / SC,Ituano / SP,3 X 1
007,23/04/2024,21:00,Hercílio Luz / Itajai,Brusque / SC,Mirassol / SP,3 X 1
008,19/04/2024,21:00,Germano Kruger / Ponta Grossa,Operário / PR,Avaí / SC,1 X 0
009,20/04/2024,17:00,Arena da Amazônia / Manaus,Amazonas Fc / AM,Sport / PE,2 X 3
010,20/04/2024,18:00,Governador Plácido Aderaldo Castelo / Fortaleza,Ceará / CE,Goiás / GO,1 X 1
011,28/04/2024,18:30,Hailé Pinheiro / Goiania,Goiás / GO,Ponte Preta / SP,3 X 0
012,26/04/2024,21:00,Brinco de Ouro da Princesa / Campinas,Guarani / SP,Chapecoense / SC,0 X 1
013,29/04/2024,19:30,José Maria de Campos Maia / Mirassol,Mirassol / SP,Ceará / CE,3 X 2
014,26/04/2024,19:00,Novelli Junior / Itu,Ituano / SP,Operário / PR,0 X 2
015,27/04/2024,18:00,Raimundo Sampaio / Belo Horizonte,America Saf / MG,Gremio Novorizontino - Saf / SP,2 X 0
016,26/04/2024,20:00,Aderbal Ramos da Silva / Florianopolis,Avaí / SC,Santos / SP,0 X 2
017,27/04/2024,17:00,Rei Pelé / Maceio,Crb / AL,Amazonas Fc / AM,0 X 0
018,28/04/2024,16:00,Major Antônio Couto Pereira / Curitiba,Coritiba S.a.f. / PR,Brusque / SC,1 X 0
019,27/04/2024,17:00,Olímpico do Pará / Belem,Paysandu / PA,Botafogo / SP,1 X 1
020,26/04/2024,19:00,Arena Pernambuco Governador Carlos Wilson Campos / São Lourenço da Mata,Sport / PE,Vila Nova / GO,2 X 0
021,04/05/2024,18:00,Onésio Brasileiro Alvarenga / Goiania,Vila Nova / GO,Operário / PR,1 X 0
022,06/05/2024,20:00,Moisés Lucarelli / Campinas,Ponte Preta / SP,Amazonas Fc / AM,3 X 0
023,07/05/2024,21:00,Santa Cruz / Ribeirao Preto,Botafogo / SP,Mirassol / SP,0 X 0
024,04/05/2024,21:00,Novelli Junior / Itu,Ituano / SP,Gremio Novorizontino - Saf / SP,1 X 3
025,06/05/2024,21:00,Urbano Caldeira / Santos,Santos / SP,Guarani / SP,4 X 1
026,04/05/2024,17:00,Índio Condá / Chapeco,Chapecoense / SC,America Saf / MG,2 X 2
027,05/05/2024,16:00,Hercílio Luz / Itajai,Brusque / SC,Goiás / GO,0 X 2
028,03/05/2024,21:30,Major Antônio Couto Pereira / Curitiba,Coritiba S.a.f. / PR,Sport / PE,0 X 1
029,03/05/2024,19:00,Leônidas Sobré de Castro / Belem,Paysandu / PA,Avaí / SC,0 X 0
030,06/05/2024,19:00,Presidente Vargas / Fortaleza,Ceará / CE,Crb / AL,2 X 2
031,10/05/2024,21:30,Hailé Pinheiro / Goiania,Goiás / GO,Ituano / SP,2 X 0
032,11/05/2024,17:00,Brinco de Ouro da Princesa / Campinas,Guarani / SP,Botafogo / SP,2 X 0
033,12/05/2024,16:00,José Maria de Campos Maia / Mirassol,Mirassol / SP,Paysandu / PA,2 X 1
034,10/05/2024,19:00,Dr. Jorge Ismael de Biasi / Novo Horizonte,Gremio Novorizontino - Saf / SP,Ceará / CE,0 X 3
035,08/05/2024,21:00,Raimundo Sampaio / Belo Horizonte,America Saf / MG,Vila Nova / GO,3 X 1
036,11/05/2024,21:00,Aderbal Ramos da Silva / Florianopolis,Avaí / SC,Coritiba S.a.f. / PR,1 X 0
037,10/05/2024,21:30,Rei Pelé / Maceio,Crb / AL,Chapecoense / SC,2 X 0
038,11/05/2024,17:00,Germano Kruger / Ponta Grossa,Operário / PR,Ponte Preta / SP,1 X 1
039,11/05/2024,17:00,Arena da Amazônia / Manaus,Amazonas Fc / AM,Santos / SP,1 X 0
040,11/05/2024,17:00,Arena Pernambuco Governador Carlos Wilson Campos / São Lourenço da Mata,Sport / PE,Brusque / SC,4 X 1
041,14/05/2024,19:00,Onésio Brasileiro Alvarenga / Goiania,Vila Nova / GO,Gremio Novorizontino - Saf / SP,2 X 1
042,15/05/2024,21:30,Moisés Lucarelli / Campinas,Ponte Preta / SP,Santos / SP,1 X 2
043,14/05/2024,21:30,Santa Cruz / Ribeirao Preto,Botafogo / SP,Chapecoense / SC,0 X 0
044,15/05/2024,19:00,Novelli Junior / Itu,Ituano / SP,Sport / PE,1 X 0
045,15/05/2024,19:00,Raimundo Sampaio / Belo Horizonte,America Saf / MG,Mirassol / SP,0 X 0
046,14/05/2024,19:00,Aderbal Ramos da Silva / Florianopolis,Avaí / SC,Crb / AL,2 X 1
047,15/05/2024,19:00,Hercílio Luz / Itajai,Brusque / SC,Operário / PR,0 X 0
048,14/05/2024,21:30,Major Antônio Couto Pereira / Curitiba,Coritiba S.a.f. / PR,Guarani / SP,1 X 0
049,15/05/2024,21:30,Leônidas Sobré de Castro / Belem,Paysandu / PA,Goiás / GO,1 X 1
050,15/05/2024,21:30,Governador Plácido Aderaldo Castelo / Fortaleza,Ceará / CE,Amazonas Fc / AM,2 X 1
051,18/05/2024,18:30,Hailé Pinheiro / Goiania,Goiás / GO,Botafogo / SP,4 X 0
052,20/05/2024,21:00,Brinco de Ouro da Princesa / Campinas,Guarani / SP,America Saf / MG,1 X 2
053,19/05/2024,16:00,José Maria de Campos Maia / Mirassol,Mirassol / SP,Ituano / SP,2 X 0
054,17/05/2024,21:30,Dr. Jorge Ismael de Biasi / Novo Horizonte,Gremio Novorizontino - Saf / SP,Coritiba S.a.f. / PR,0 X 0
055,19/05/2024,11:00,Urbano Caldeira / Santos,Santos / SP,Brusque / SC,4 X 0
056,21/05/2024,17:00,Índio Condá / Chapeco,Chapecoense / SC,Ponte Preta / SP,0 X 0
057,17/05/2024,19:00,Rei Pelé / Maceio,Crb / AL,Vila Nova / GO,1 X 0
058,19/05/2024,16:00,Germano Kruger / Ponta Grossa,Operário / PR,Ceará / CE,0 X 0
059,18/05/2024,17:30,Arena da Amazônia / Manaus,Amazonas Fc / AM,Paysandu / PA,1 X 1
060,18/05/2024,21:00,Arena Pernambuco Governador Carlos Wilson Campos / São Lourenço da Mata,Sport / PE,Avaí / SC,1 X 2
061,26/05/2024,17:00,Onésio Brasileiro Alvarenga / Goiania,Vila Nova / GO,Brusque / SC,2 X 2
062,25/05/2024,21:00,Brinco de Ouro da Princesa / Campinas,Guarani / SP,Paysandu / PA,0 X 0
063,27/05/2024,21:00,Santa Cruz / Ribeirao Preto,Botafogo / SP,Gremio Novorizontino - Saf / SP,0 X 1
064,26/05/2024,16:00,Novelli Junior / Itu,Ituano / SP,Ponte Preta / SP,2 X 0
065,24/05/2024,21:30,Raimundo Sampaio / Belo Horizonte,America Saf / MG,Santos / SP,2 X 1
066,27/05/2024,21:30,Aderbal Ramos da Silva / Florianopolis,Avaí / SC,Goiás / GO,2 X 0
067,11/09/2024,21:30,Rei Pelé / Maceio,Crb / AL,Sport / PE,1 X 1
068,27/05/2024,19:00,Major Antônio Couto Pereira / Curitiba,Coritiba S.a.f. / PR,Operário / PR,3 X 0
069,28/05/2024,19:00,Arena da Amazônia / Manaus,Amazonas Fc / AM,Mirassol / SP,1 X 0
070,26/05/2024,18:30,Governador Plácido Aderaldo Castelo / Fortaleza,Ceará / CE,Chapecoense / SC,2 X 1
