game_id,date,time,stadium,home_team,away_team,result
001,05/04/2025,16:00,Major Antônio Couto Pereira / Curitiba,Coritiba S.a.f. / PR,Vila Nova / GO,1 X 0
002,04/04/2025,19:00,Hailé Pinheiro / Goiania,Goiás / GO,Amazonas Fc / AM,1 X 0
003,07/04/2025,19:00,Antônio Accioly / Goiania,Atlético Goianiense Saf / GO,Athletic Saf / MG,4 X 2
004,04/04/2025,21:00,Olímpico do Pará / Belem,Paysandu / PA,Athletico Paranaense / PR,1 X 2
005,06/04/2025,20:00,Aderbal Ramos da Silva / Florianopolis,Avaí / SC,Gremio Novorizontino - Saf / SP,1 X 1
006,04/04/2025,21:00,Heriberto Hulse / Criciuma,Criciúma / SC,Operário / PR,1 X 2
007,05/04/2025,16:00,Rei Pelé / Maceio,Crb / AL,Chapecoense / SC,1 X 0
008,05/04/2025,18:30,Raimundo Sampaio / Belo Horizonte,America Saf / MG,Botafogo / SP,1 X 0
009,06/04/2025,19:00,Ademar Pereira de Barros / Araraquara,Ferroviária / SP,Remo / PA,1 X 1
010,06/04/2025,19:00,Sylvio Raulino de Oliveira / Volta Redonda,Volta Redonda / RJ,Cuiabá Saf / MT,0 X 1
011,10/04/2025,19:00,Ligga Arena / Curitiba,Athletico Paranaense / PR,Criciúma / SC,2 X 1
012,12/04/2025,18:00,Serra Dourada / Goiania,Vila Nova / GO,Paysandu / PA,1 X 0
013,10/04/2025,21:30,Arena Pantanal / Cuiaba,Cuiabá Saf / MT,Avaí / SC,2 X 2
014,13/04/2025,16:00,Olímpico do Pará / Belem,Remo / PA,America Saf / MG,2 X 0
015,12/04/2025,16:00,Índio Condá / Chapeco,Chapecoense / SC,Coritiba S.a.f. / PR,1 X 2
016,12/04/2025,20:00,Germano Kruger / Ponta Grossa,Operário / PR,Goiás / GO,1 X 2
017,12/04/2025,19:00,Arena da Amazônia / Manaus,Amazonas Fc / AM,Ferroviária / SP,0 X 0
018,13/04/2025,16:00,Raimundo Sampaio / Belo Horizonte,Athletic Saf / MG,Crb / AL,1 X 2
019,12/04/2025,19:00,Dr. Jorge Ismael de Biasi / Novo Horizonte,Gremio Novorizontino - Saf / SP,Volta Redonda / RJ,1 X 0
020,13/04/2025,19:00,Santa Cruz / Ribeirao Preto,Botafogo / SP,Atlético Goianiense Saf / GO,1 X 1
021,16/04/2025,21:00,Major Antônio Couto Pereira / Curitiba,Coritiba S.a.f. / PR,Gremio Novorizontino - Saf / SP,0 X 0
022,17/04/2025,19:00,Hailé Pinheiro / Goiania,Goiás / GO,Vila Nova / GO,2 X 2
023,15/04/2025,19:00,Arena Pantanal / Cuiaba,Cuiabá Saf / MT,Athletico Paranaense / PR,2 X 1
024,16/04/2025,20:00,Olímpico do Pará / Belem,Paysandu / PA,Chapecoense / SC,0 X 2
